189,573,574,562,
205,704,579,691,
580,824,215,835,
218,975,589,960,
595,1093,211,1105,
234,436,259,1193,
288,433,317,1192,
345,434,374,1192,
434,1192,403,434,
459,429,487,1193,
541,1190,514,428,
0,791,155,794,
155,794,157,807,
158,810,168,807,
166,807,170,812,
171,808,171,822,
172,818,157,829,
156,827,168,1038,
168,1040,162,1054,
163,1057,146,1054,
146,1051,148,1062,
147,1059,159,1073,
159,1073,164,1082,
163,1081,169,1095,
169,1082,173,1093,
171,1088,175,1103,
174,1100,174,1108,
173,1110,157,1108,
158,1108,152,1098,
152,1093,158,1191,
133,1189,120,1099,
120,1103,50,1138,
51,1138,7,795,
723,1190,724,1139,
722,1141,719,1129,
718,1132,718,800,
717,801,720,795,
719,796,722,792,
724,794,726,758,
725,759,774,760,
775,762,773,793,
774,792,1301,782,
1301,784,1304,784,
1304,787,1318,953,
1320,958,1402,965,
1402,965,1410,976,
1411,979,1447,978,
1448,982,1468,988,
1468,984,1498,995,
1498,994,1505,1005,
1507,1008,1513,1015,
1514,1016,1516,1038,
1514,1041,1525,1066,
1528,1061,1544,1104,
852,500,856,501,
866,598,865,647,
866,645,942,648,
944,645,941,591,
942,591,866,591,
863,592,865,646,
